Date,FXE,EWJ,GLD,QQQ,SPY,SHV,GAF,DBA,USO,XBI,ILF,EPP,FEZ,Mkt-RF,SMB,HML,RF
4/27/2007,128.7457581,46.64201355,67.55999756,41.30467606,113.0709229,97.47022247,50.27824402,23.66601563,414.7200012,16.99413872,27.09465599,26.99231529,37.47105026,0.91,-0.38,0.18,0.022
4/30/2007,128.7174377,46.28547668,67.08999634,40.76364899,112.1332855,97.48802185,50.54017639,23.4209671,409.9200134,16.69237518,26.5719223,26.64869118,37.50230789,-0.02,0.32,-0.32,0.022
5/1/2007,128.3300934,46.28547668,66.69000244,40.72816849,112.4206467,97.51572418,49.9564209,23.80739021,402.8800049,16.82260895,26.59728622,26.7460556,37.477314,-0.13,-0.31,-0.39,0.022
5/2/2007,128.1981506,46.54476929,66.66000366,41.17163849,113.078537,97.56043243,51.04910278,23.67543983,396.7200012,17.14343262,27.09465599,27.08967972,37.67728806,-0.93,-0.88,-0.02,0.022
5/3/2007,127.8210907,46.60960007,67.48999786,41.32242966,113.6910477,97.56936646,50.83205414,23.97703743,394.2399902,17.08943367,27.58075333,27.2863121,37.67728806,0.22,-0.06,-0.03,0.018
5/4/2007,128.2546844,46.77166367,68.19000244,41.35789871,114.1220627,97.5872345,51.10897827,24.13726234,386.3999939,17.09260941,27.88367462,27.43331528,37.98975372,0.79,0.64,0,0.018
5/7/2007,128.2641449,46.9985466,68.25,41.35789871,114.1447372,97.56936646,51.5280838,23.86393929,384.480011,17.07355118,27.77378082,27.51158333,37.99600983,0.37,-0.33,0.16,0.018
5/8/2007,127.7362289,46.90131378,67.87999725,41.44659042,113.9934998,97.60508728,50.77967072,23.40211868,389.1199951,17.04496193,27.57370758,27.34359169,37.7022934,0.25,0.2,0,0.018
5/9/2007,127.7644958,47.48474503,67.44999695,41.53529358,114.3034897,97.65876007,51.13143158,23.46809196,384.0799866,17.05449295,28.36273766,27.67767715,37.84602356,0.18,-0.38,0.28,0.018
5/10/2007,127.2554855,46.77166367,66,40.96765137,113.1087952,97.66766357,50.24082565,23.29844475,385.2000122,16.68284416,27.68219566,27.29967308,36.9461174,-0.13,-0.04,-0.12,0.018
5/11/2007,127.7173538,47.12820053,66.44999695,41.49093246,114.0766754,97.67662811,50.26327896,23.87336349,388.5599976,16.9909668,28.1626606,27.79222298,37.74603271,0.35,0.08,-0.05,0.018
5/14/2007,127.7927551,46.9985466,66.27999878,41.2071228,113.8271332,97.68552399,50.28572845,23.80739021,388.480011,16.90202141,27.82732582,27.64331055,37.55854797,-1.42,-0.51,0.28,0.018
5/15/2007,128.1981506,46.60960007,66.54000092,40.88781357,113.8573685,97.72130585,49.8890686,23.88278961,391.9200134,16.83214188,27.96822739,27.55549049,37.82725906,0.95,0.2,0.03,0.018
5/16/2007,127.6702881,46.70682907,65.59999847,41.2869339,114.636261,97.77490997,50.36056137,23.84508896,388.2399902,16.93378448,28.91786575,27.54785728,37.87100601,-0.28,-0.58,-0.01,0.018
5/17/2007,127.3497925,46.31788635,65.05999756,41.09181595,114.4093628,97.78385925,49.57472992,23.68486595,401.2799988,16.83214188,28.88405418,27.66240311,37.68353653,-0.27,-0.76,0.17,0.018
5/18/2007,127.6137238,46.18823242,65.51999664,41.42884827,115.4075775,97.79283905,49.84416199,23.44924164,400.7999878,16.95602608,29.29688644,27.72730255,38.33969879,0.82,-0.21,0.04,0.018
5/21/2007,127.1988983,46.18823242,65.66999817,41.69494247,115.347023,97.79283905,50.1061058,23.88278961,406.5599976,17.06402779,29.55332756,27.64331055,38.01476288,-0.1,-0.35,-0.01,0.018
5/22/2007,126.9633102,46.64201355,65.19999695,41.73041534,115.2563324,97.79283905,50.31566238,23.55291748,399.3599854,17.2419014,29.33351898,27.47149658,38.05848694,0.66,0.4,-0.49,0.018
5/23/2007,127.1895447,46.70682907,65.54000092,41.53529358,115.2714691,97.84642792,50.65244675,23.65658951,401.3599854,17.18472481,29.17712212,27.56885529,38.25222397,0.31,0.9,-0.19,0.018
5/24/2007,126.8312912,46.47994995,64.75,40.94103241,114.2279129,97.86431122,49.1780777,24.08071327,391.4400024,16.95284462,28.24297905,26.87967491,37.80226898,0.08,0.7,0.01,0.018
5/25/2007,127.0198288,46.28547668,64.94000244,41.19824982,114.7043152,97.88217926,49.537323,24.50483322,396,17.0163765,28.96014214,27.12213326,38.15224075,-0.18,-0.2,-0.16,0.018
5/29/2007,127.0387039,46.77166367,65.06999969,41.51755142,115.1201706,97.89112854,49.39511871,24.1089859,387.2000122,17.13707924,28.99395752,27.20422363,38.16473389,-1.07,-0.4,-0.08,0.018
