Date,SPY
2007-07-24,114.9024658203125
2007-07-25,115.13790893554688
2007-07-26,112.41156005859375
2007-07-27,110.20157623291016
2007-07-30,111.92546081542969
2007-07-31,110.66486358642578
2007-08-01,111.20403289794922
2007-08-02,112.09256744384766
2007-08-03,109.20675659179688
2007-08-06,111.0369644165039
2007-08-07,112.22167205810547
2007-08-08,113.78617095947266
2007-08-09,110.41426086425781
2007-08-10,109.8978271484375
2007-08-13,110.29269409179688
2007-08-14,108.60676574707031
2007-08-15,107.1106948852539
2007-08-16,107.91570281982422
2007-08-17,109.8978271484375
2007-08-20,109.84465026855469
2007-08-21,110.06489562988281
2007-08-22,111.37112426757812
2007-08-23,111.27242279052734
2007-08-24,112.64697265625
2007-08-27,111.59895324707031
2007-08-28,109.14595031738281
2007-08-29,111.2875747680664
2007-08-30,110.99141693115234
2007-08-31,112.08499908447266
2007-09-04,113.21651458740234
2007-09-05,112.23686218261719
2007-09-06,112.49510192871094
2007-09-07,110.93067169189453
2007-09-10,110.71803283691406
2007-09-11,112.0090103149414
2007-09-12,112.29765319824219
2007-09-13,113.08744812011719
2007-09-14,113.07984924316406
2007-09-17,112.47229766845703
2007-09-18,115.783447265625
2007-09-19,116.4669189453125
2007-09-20,115.64675903320312
2007-09-21,115.95884704589844
2007-09-24,115.74518585205078
2007-09-25,115.51628112792969
2007-09-26,116.12672424316406
2007-09-27,116.81343078613281
2007-09-28,116.42427062988281
2007-10-01,117.73666381835938
2007-10-02,117.57650756835938
2007-10-03,117.33991241455078
2007-10-04,117.52310943603516
2007-10-05,118.91943359375
2007-10-08,118.28607940673828
2007-10-09,119.4001235961914
2007-10-10,119.2017593383789
2007-10-11,118.62943267822266
2007-10-12,119.28569793701172
2007-10-15,118.2784423828125
2007-10-16,117.33991241455078
2007-10-17,117.69857025146484
2007-10-18,117.27130126953125
2007-10-19,114.20384216308594
2007-10-22,114.86770629882812
2007-10-23,115.7986068725586
2007-10-24,115.58490753173828
2007-10-25,115.8596420288086
2007-10-26,117.21782684326172
2007-10-29,117.60702514648438
2007-10-30,116.79053497314453
2007-10-31,118.00374603271484
2007-11-01,115.2415771484375
2007-11-02,115.37128448486328
2007-11-05,114.49385070800781
2007-11-06,116.0351333618164
2007-11-07,112.86088562011719
2007-11-08,112.28861236572266
2007-11-09,110.74730682373047
2007-11-12,109.64852905273438
2007-11-13,112.9906005859375
2007-11-14,112.67777252197266
2007-11-15,111.052490234375
2007-11-16,111.24327087402344
2007-11-19,109.69429016113281
2007-11-20,110.36577606201172
2007-11-21,108.10719299316406
2007-11-23,109.97662353515625
2007-11-26,107.55017852783203
2007-11-27,108.7862548828125
2007-11-28,112.26576232910156
2007-11-29,112.30388641357422
2007-11-30,113.43318176269531
2007-12-03,112.6853256225586
2007-12-04,111.67815399169922
2007-12-05,113.54761505126953
2007-12-06,115.17286682128906
2007-12-07,115.14999389648438
2007-12-10,116.042724609375
2007-12-11,112.86088562011719
2007-12-12,113.97496032714844
2007-12-13,113.73841094970703
2007-12-14,112.2962417602539
2007-12-17,110.69385528564453
2007-12-18,111.31194305419922
2007-12-19,111.31194305419922
2007-12-20,112.01396942138672
2007-12-21,113.628662109375
2007-12-24,114.47247314453125
2007-12-26,114.71793365478516
2007-12-27,113.27578735351562
2007-12-28,112.991943359375
2007-12-31,112.15584564208984
2008-01-02,111.1739730834961
2008-01-03,111.12026977539062
2008-01-04,108.39708709716797
2008-01-07,108.3050765991211
2008-01-08,106.55613708496094
2008-01-09,107.67604064941406
2008-01-10,108.38175201416016
2008-01-11,107.50728607177734
2008-01-14,108.37409210205078
2008-01-15,105.98845672607422
2008-01-16,105.07563018798828
2008-01-17,102.35242462158203
2008-01-18,101.30152893066406
2008-01-22,100.27366638183594
2008-01-23,102.68231964111328
2008-01-24,103.54913330078125
2008-01-25,102.05329132080078
2008-01-28,103.74092102050781
2008-01-29,104.25482177734375
2008-01-30,103.4877700805664
2008-01-31,105.3747787475586
2008-02-01,107.0700454711914
2008-02-04,105.71998596191406
2008-02-05,102.88943481445312
2008-02-06,102.06095123291016
2008-02-07,102.7359848022461
2008-02-08,102.0763168334961
2008-02-11,102.5979232788086
2008-02-12,103.54913330078125
2008-02-13,104.60769653320312
2008-02-14,103.68718719482422
2008-02-15,103.6641616821289
2008-02-19,103.9556655883789
2008-02-20,104.26249694824219
2008-02-21,103.39569091796875
2008-02-22,104.03239440917969
2008-02-25,105.3441162109375
2008-02-26,106.13422393798828
2008-02-27,106.02680206298828
2008-02-28,104.99126434326172
2008-02-29,102.6516342163086
2008-03-03,102.40616607666016
2008-03-04,102.01494598388672
2008-03-05,102.65927124023438
2008-03-06,100.53446960449219
2008-03-07,99.49887084960938
2008-03-10,98.1871566772461
2008-03-11,101.7157974243164
2008-03-12,100.76460266113281
2008-03-13,100.98706817626953
2008-03-14,99.42218017578125
2008-03-17,98.41730499267578
2008-03-18,102.505859375
2008-03-19,99.96683502197266
2008-03-20,101.81848907470703
2008-03-24,103.85360717773438
2008-03-25,103.95384216308594
2008-03-26,102.681884765625
2008-03-27,102.35810089111328
2008-03-28,101.37908172607422
2008-03-31,101.73368072509766
2008-04-01,105.31057739257812
2008-04-02,105.37998962402344
2008-04-03,105.64205932617188
2008-04-04,105.52642822265625
2008-04-07,105.58043670654297
2008-04-08,105.47249603271484
2008-04-09,104.70929718017578
2008-04-10,104.85578155517578
2008-04-11,102.82061767578125
2008-04-14,102.47370910644531
2008-04-15,102.71271514892578
2008-04-16,105.49559783935547
2008-04-17,105.64978790283203
