Date,FXE,EWJ,GLD,QQQ,SPY,SHV,DBA,USO,XBI,ILF,GAF,EPP,FEZ
2014-11-28,122.459999,46.48,112.110001,106.010002,207.199997,110.260002,25.540001,25.58,59.936665000000005,35.639998999999996,71.769997,46.549999,39.619999
2014-12-01,122.860001,46.720001,116.58000200000001,104.809998,205.759995,110.269997,25.85,26.32,58.233334,34.48,70.860001,45.700001,39.560001
2014-12-02,121.949997,47.119999,115.139999,105.230003,207.08999599999999,110.260002,25.49,25.58,59.77,33.950001,70.889999,46.040001000000004,39.450001
2014-12-03,121.269997,47.080002,116.33000200000001,105.41999799999999,207.889999,110.260002,25.280001000000002,25.58,59.826664,34.290001000000004,70.910004,46.080002,39.310001
2014-12-04,121.949997,46.959998999999996,115.879997,105.370003,207.66000400000001,110.260002,25.35,25.34,59.369999,33.709998999999996,70.5,46.07,39.009997999999996
2014-12-05,121.029999,47.0,114.43,105.379997,208.0,110.260002,25.370001000000002,24.959999,60.426666000000004,33.830002,69.739998,45.959998999999996,39.490002000000004
2014-12-08,121.25,46.240002000000004,115.779999,104.629997,206.610001,110.239998,25.27,23.91,60.786667,32.919998,68.41999799999999,45.509997999999996,39.09
2014-12-09,121.83000200000001,46.48,118.190002,104.959999,206.470001,110.239998,25.4,24.200001,62.543335,32.810001,67.860001,45.200001,38.75
2014-12-10,122.550003,45.759997999999996,117.959999,103.309998,203.16000400000001,110.239998,25.23,23.280001000000002,61.200001,31.82,67.160004,44.77,38.259997999999996
2014-12-11,122.019997,45.880001,117.690002,103.800003,204.190002,110.25,25.17,22.68,61.346664000000004,31.530001000000002,65.910004,44.77,38.18
2014-12-12,122.629997,45.439999,117.410004,102.66999799999999,200.889999,110.25,25.200001,21.93,61.243331999999995,30.629998999999998,64.720001,44.290001000000004,37.209998999999996
2014-12-15,122.449997,44.560001,114.389999,101.610001,199.509995,110.260002,25.27,21.059998999999998,58.630001,29.809998999999998,63.110001000000004,43.799999,36.459998999999996
2014-12-16,123.239998,44.599998,114.949997,99.980003,197.91000400000001,110.260002,25.08,21.299999,58.289997,29.540001,62.689999,43.630001,36.830002
2014-12-17,121.540001,45.080002,114.269997,101.800003,201.78999299999998,110.260002,25.059998999999998,21.34,61.070004000000004,30.85,63.32,42.740002000000004,37.400002
2014-12-18,121.0,45.799999,115.150002,104.25,206.779999,110.239998,25.48,20.74,63.02666899999999,31.639999,68.029999,43.330002,38.240002000000004
2014-12-19,120.389999,46.040001000000004,114.769997,104.32,206.520004,110.25,25.440001000000002,21.959999,63.446667000000005,31.809998999999998,65.940002,43.77,37.529999
2014-12-22,120.400002,45.919998,112.550003,104.58000200000001,207.470001,110.220001,25.299999,20.92,62.97333100000001,31.76,66.839996,44.169998,37.77
2014-12-23,119.839996,46.0,112.739998,104.209999,207.75,110.230003,25.370001000000002,21.559998999999998,59.726665000000004,31.799999,66.400002,43.77,37.880001
2014-12-24,120.029999,45.919998,112.769997,104.300003,207.770004,110.239998,25.129998999999998,21.049999,60.873332999999995,31.85,66.57,43.900002,38.029999
2014-12-26,119.910004,46.240002000000004,114.83000200000001,105.040001,208.440002,110.239998,25.209999,20.780001000000002,62.27666899999999,31.74,66.660004,44.16,38.07
2014-12-29,119.66999799999999,45.759997999999996,113.66999799999999,105.019997,208.720001,110.220001,25.23,20.299999,62.503330000000005,31.85,67.66999799999999,44.580002,37.77
2014-12-30,119.66999799999999,45.200001,115.199997,104.32,207.600006,110.230003,25.08,20.290001,61.846664000000004,31.9,67.540001,44.290001000000004,37.18
2014-12-31,119.139999,44.959998999999996,113.58000200000001,103.25,205.53999299999998,110.25,24.889999,20.360001,62.153335999999996,31.809998999999998,67.0,43.950001,36.860001000000004
2015-01-02,118.199997,45.040001000000004,114.08000200000001,102.940002,205.429993,110.230003,24.639999,19.889999,62.803332999999995,30.940001000000002,66.449997,43.84,36.830002
2015-01-05,117.540001,44.52,115.800003,101.43,201.720001,110.230003,24.940001000000002,18.790001,63.0,30.059998999999998,64.559998,43.439999,35.259997999999996
2015-01-06,117.160004,43.799999,117.120003,100.07,199.820007,110.239998,25.110001,18.049999,61.433333999999995,30.549999,65.459999,43.119999,34.860001000000004
2015-01-07,116.489998,44.439999,116.43,101.360001,202.309998,110.239998,24.99,18.370001000000002,63.889998999999996,31.280001000000002,66.779999,43.599998,35.27
2015-01-08,116.08000200000001,45.0,115.940002,103.300003,205.899994,110.239998,24.9,18.549999,65.306664,31.780001000000002,68.787003,44.080002,35.799999
2015-01-09,116.610001,44.52,117.260002,102.620003,204.25,110.25,24.84,18.280001000000002,65.356667,31.709999,67.959999,44.34,35.259997999999996
2015-01-12,116.529999,44.360001000000004,118.559998,101.550003,202.649994,110.269997,24.66,17.41,65.976669,31.059998999999998,67.16999799999999,44.02,35.439999
2015-01-13,115.879997,44.720001,118.160004,101.519997,202.080002,110.260002,24.42,17.620001000000002,65.489998,31.219998999999998,68.489998,44.23,35.610001000000004
2015-01-14,116.059998,44.639998999999996,117.970001,100.959999,200.860001,110.260002,24.360001,18.27,66.506668,31.34,68.16999799999999,43.84,35.720001
2015-01-15,114.400002,44.959998999999996,120.940002,99.650002,199.020004,110.269997,24.24,17.450001,64.03666700000001,30.84,67.33000200000001,44.119999,35.630001
2015-01-16,113.910004,45.360001000000004,122.519997,100.82,201.630005,110.269997,24.16,18.33,65.98333000000001,31.639999,67.269997,44.459998999999996,36.400002
2015-01-20,113.730003,45.720001,124.199997,101.620003,202.059998,110.269997,23.98,17.48,66.71333299999999,31.27,67.82,43.950001,36.709998999999996
2015-01-21,114.089996,45.799999,124.230003,102.139999,203.080002,110.260002,23.84,17.77,64.793335,32.099998,69.389999,44.400002,37.07
2015-01-22,111.83000200000001,46.0,125.230003,104.029999,206.100006,110.269997,23.73,17.41,65.493332,32.77,69.870003,44.549999,37.220001
2015-01-23,110.33000200000001,45.84,124.230003,104.260002,204.970001,110.269997,23.48,17.0,66.196663,32.02,69.949997,44.279999,36.939999
2015-01-26,110.879997,46.360001000000004,122.989998,104.139999,205.449997,110.260002,23.52,16.870001000000002,68.07,32.009997999999996,70.110001,44.48,37.630001
2015-01-27,112.029999,46.439999,124.400002,101.440002,202.740005,110.260002,23.52,17.209999,68.22333499999999,32.169998,70.110001,44.59,37.509997999999996
2015-01-28,111.110001,46.360001000000004,123.41999799999999,100.91999799999999,200.139999,110.25,23.4,16.559998999999998,66.39666700000001,31.309998999999998,69.5,44.259997999999996,36.599998
2015-01-29,111.440002,46.759997999999996,120.760002,101.889999,201.990005,110.279999,23.200001,16.68,67.33667,31.17,69.790001,44.549999,37.599998
2015-01-30,111.220001,45.959998999999996,123.449997,101.099998,199.449997,110.260002,23.139999,17.82,66.550003,30.1,69.139999,44.150002,36.889998999999996
2015-02-02,111.58000200000001,46.439999,122.41999799999999,101.980003,201.919998,110.279999,22.91,18.620001000000002,65.5,30.6,70.66999799999999,44.98,37.549999
2015-02-03,113.029999,46.360001000000004,121.050003,102.959999,204.83999599999999,110.290001,23.24,19.620001000000002,65.306664,31.440001000000002,72.440002,45.540001000000004,38.470001
2015-02-04,112.120003,46.599998,121.58000200000001,102.870003,204.059998,110.269997,23.139999,18.280001000000002,63.98,31.120001000000002,71.459999,45.360001000000004,37.650002
2015-02-05,113.059998,47.0,121.790001,103.760002,206.119995,110.269997,23.219998999999998,19.030001000000002,65.839996,31.49,73.429901,45.860001000000004,38.279999
2015-02-06,111.400002,46.599998,118.639999,103.129997,205.550003,110.269997,23.4,19.469998999999998,64.996666,30.940001000000002,71.68,45.59,37.349998
2015-02-09,111.449997,46.16,119.16999799999999,102.800003,204.630005,110.269997,23.610001,19.77,64.66999799999999,31.379998999999998,71.68,45.470001,37.029999
2015-02-10,111.360001,46.759997999999996,118.470001,104.400002,206.809998,110.260002,23.33,18.940001000000002,66.13666500000001,30.59,70.459999,45.580002,37.560001
2015-02-11,111.150002,46.84,117.07,104.779999,206.929993,110.269997,23.23,18.51,65.940002,29.959999,69.489998,45.130001,37.32
2015-02-12,112.309998,47.16,117.339996,106.0,208.919998,110.260002,23.360001,19.18,67.346664,31.16,70.709999,45.279999,38.330002
2015-02-13,112.160004,47.720001,117.980003,106.910004,209.77999900000003,110.269997,23.57,19.620001000000002,67.800003,31.6,71.199997,45.919998,38.5
2015-02-17,112.379997,47.68,116.010002,107.010002,210.11000099999998,110.279999,23.559998999999998,19.790001,69.07666800000001,31.68,70.93,46.080002,38.580002
2015-02-18,112.16999799999999,48.52,116.339996,107.160004,210.13000499999998,110.290001,23.389999,19.26,69.966667,31.549999,70.980003,46.27,38.619999
2015-02-19,111.800003,48.880001,115.940002,107.690002,209.979996,110.290001,23.35,19.1,70.566666,31.26,71.510002,46.099998,38.619999
2015-02-20,111.940002,49.32,115.279999,108.410004,211.24000499999997,110.279999,23.15,18.65,71.120003,31.360001,71.690002,46.32,39.209998999999996
2015-02-23,111.529999,49.040001000000004,115.43,108.519997,211.210007,110.269997,22.98,18.110001,71.71333299999999,31.23,71.43,46.110001000000004,38.939999
2015-02-24,111.620003,49.279999,115.260002,108.599998,211.809998,110.269997,23.030001000000002,18.040001,70.32666800000001,31.92,72.239998,46.459998999999996,39.389998999999996
2015-02-25,111.839996,49.16,115.699997,108.33000200000001,211.63000499999998,110.269997,22.83,18.65,72.123337,31.530001000000002,72.150002,46.57,39.34
2015-02-26,110.16999799999999,49.599998,116.07,108.879997,211.38000499999998,110.269997,22.959999,18.030001000000002,72.629997,31.59,71.360001,46.189999,39.110001000000004
2015-02-27,110.120003,49.400002,116.160004,108.400002,210.66000400000001,110.279999,23.07,18.1,71.543335,31.790001,70.809998,46.360001000000004,39.259997999999996
2015-03-02,110.0,49.52,115.68,109.379997,211.99000499999997,110.269997,22.879998999999998,18.32,72.496666,31.110001,69.93,46.450001,39.34
2015-03-03,109.940002,49.279999,115.470001,108.870003,211.11999500000002,110.260002,22.709999,18.49,72.599998,31.030001000000002,69.82,46.470001,38.959998999999996
