Date,AAPL
2012-04-25,18.793455123901367
2012-04-26,18.722604751586914
2012-04-27,18.577796936035156
2012-04-30,17.99180793762207
2012-05-01,17.934810638427734
2012-05-02,18.053424835205078
2012-05-03,17.92525863647461
2012-05-04,17.41476058959961
2012-05-07,17.54508399963379
2012-05-08,17.505027770996094
2012-05-09,17.53583335876465
2012-05-10,17.577125549316406
2012-05-11,17.45973777770996
2012-05-14,17.198171615600586
2012-05-15,17.042587280273438
2012-05-16,16.824148178100586
2012-05-17,16.332441329956055
2012-05-18,16.340452194213867
2012-05-21,17.292448043823242
2012-05-22,17.159656524658203
2012-05-23,17.578351974487305
2012-05-24,17.416919708251953
2012-05-25,17.323562622070312
2012-05-29,17.63103485107422
2012-05-30,17.8436222076416
2012-05-31,17.79925537109375
2012-06-01,17.283512115478516
2012-06-04,17.38517951965332
2012-06-05,17.340200424194336
2012-06-06,17.606082916259766
2012-06-07,17.614097595214844
2012-06-08,17.87904930114746
2012-06-11,17.597150802612305
2012-06-12,17.75088119506836
2012-06-13,17.62764549255371
2012-06-14,17.608238220214844
2012-06-15,17.688343048095703
2012-06-18,18.04726791381836
2012-06-19,18.097482681274414
2012-06-20,18.046035766601562
2012-06-21,17.79740333557129
2012-06-22,17.933889389038086
2012-06-25,17.58482551574707
2012-06-26,17.623640060424805
2012-06-27,17.69974708557129
2012-06-28,17.531827926635742
2012-06-29,17.9924259185791
2012-07-02,18.25491714477539
2012-07-03,18.467193603515625
2012-07-05,18.79161262512207
2012-07-06,18.666521072387695
2012-07-09,18.91330337524414
2012-07-10,18.738309860229492
2012-07-11,18.62185287475586
2012-07-12,18.45147705078125
2012-07-13,18.638490676879883
2012-07-16,18.698257446289062
2012-07-17,18.699188232421875
2012-07-18,18.678232192993164
2012-07-19,18.92655372619629
2012-07-20,18.617847442626953
2012-07-23,18.603368759155273
2012-07-24,18.513715744018555
2012-07-25,17.71422576904297
2012-07-26,17.711450576782227
2012-07-27,18.02816390991211
2012-07-30,18.33224868774414
2012-07-31,18.816875457763672
2012-08-01,18.695178985595703
2012-08-02,18.725372314453125
2012-08-03,18.96906852722168
2012-08-06,19.180116653442383
2012-08-07,19.129589080810547
2012-08-08,19.09723472595215
2012-08-09,19.20615005493164
2012-08-10,19.236162185668945
2012-08-13,19.492969512939453
2012-08-14,19.54526710510254
2012-08-15,19.518653869628906
2012-08-16,19.68914031982422
2012-08-17,20.05331039428711
2012-08-20,20.580554962158203
2012-08-21,20.29930305480957
2012-08-22,20.695661544799805
2012-08-23,20.502592086791992
2012-08-24,20.520843505859375
2012-08-27,20.9063663482666
2012-08-28,20.879138946533203
2012-08-29,20.837989807128906
2012-08-30,20.540950775146484
2012-08-31,20.583337783813477
2012-09-04,20.8843994140625
2012-09-05,20.73773956298828
2012-09-06,20.924623489379883
2012-09-07,21.053647994995117
2012-09-10,20.505992889404297
2012-09-11,20.439464569091797
2012-09-12,20.724123001098633
2012-09-13,21.13224220275879
2012-09-14,21.38905143737793
2012-09-17,21.652053833007812
2012-09-18,21.717958450317383
2012-09-19,21.72383689880371
2012-09-20,21.618637084960938
2012-09-21,21.661640167236328
2012-09-24,21.373886108398438
2012-09-25,20.84015655517578
2012-09-26,20.58148765563965
2012-09-27,21.08087921142578
2012-09-28,20.64089012145996
2012-10-01,20.4023380279541
2012-10-02,20.461740493774414
2012-10-03,20.775482177734375
2012-10-04,20.631610870361328
2012-10-05,20.191932678222656
2012-10-08,19.745763778686523
2012-10-09,19.67398452758789
2012-10-10,19.830543518066406
2012-10-11,19.434179306030273
2012-10-12,19.4840030670166
2012-10-15,19.6402530670166
2012-10-16,20.105302810668945
2012-10-17,19.94502067565918
2012-10-18,19.57465171813965
2012-10-19,18.869197845458984
2012-10-22,19.617671966552734
2012-10-23,18.97810935974121
2012-10-24,19.08547592163086
2012-10-25,18.85991668701172
2012-10-26,18.688501358032227
2012-10-31,18.419939041137695
2012-11-01,18.457679748535156
2012-11-02,17.84690284729004
2012-11-05,18.08885955810547
2012-11-06,18.034095764160156
2012-11-07,17.344064712524414
2012-11-08,16.714635848999023
2012-11-09,17.004016876220703
2012-11-12,16.872541427612305
2012-11-13,16.874717712402344
2012-11-14,16.687602996826172
2012-11-15,16.337608337402344
2012-11-16,16.401636123657227
2012-11-19,17.584333419799805
2012-11-20,17.434511184692383
2012-11-21,17.459070205688477
2012-11-23,17.763673782348633
2012-11-26,18.324098587036133
2012-11-27,18.17645263671875
2012-11-28,18.1192626953125
2012-11-29,18.318811416625977
2012-11-30,18.191991806030273
2012-12-03,18.220273971557617
2012-12-04,17.898883819580078
2012-12-05,16.746965408325195
2012-12-06,17.00961685180664
2012-12-07,16.574777603149414
2012-12-10,16.468156814575195
2012-12-11,16.827783584594727
2012-12-12,16.753494262695312
2012-12-13,16.464120864868164
2012-12-14,15.845573425292969
2012-12-17,16.126558303833008
2012-12-18,16.594974517822266
2012-12-19,16.35905647277832
2012-12-20,16.21669578552246
2012-12-21,16.142099380493164
2012-12-24,16.168209075927734
2012-12-26,15.945351600646973
2012-12-27,16.009374618530273
2012-12-28,15.839354515075684
2012-12-31,16.54119873046875
2013-01-02,17.06525230407715
2013-01-03,16.849853515625
2013-01-04,16.3804988861084
2013-01-07,16.28414535522461
2013-01-08,16.327972412109375
2013-01-09,16.072784423828125
2013-01-10,16.27202033996582
2013-01-11,16.172250747680664
2013-01-14,15.595670700073242
2013-01-15,15.103628158569336
2013-01-16,15.73056697845459
2013-01-17,15.624576568603516
2013-01-18,15.541269302368164
2013-01-22,15.689539909362793
2013-01-23,15.976744651794434
2013-01-24,14.002690315246582
2013-01-25,13.672593116760254
2013-01-28,13.981863021850586
2013-01-29,14.244199752807617
2013-01-30,14.199442863464355
2013-01-31,14.15778923034668
2013-02-01,14.099665641784668
2013-02-04,13.748434066772461
2013-02-05,14.230831146240234
2013-02-06,14.215604782104492
2013-02-07,14.638289451599121
2013-02-08,14.849629402160645
2013-02-11,15.004384994506836
2013-02-12,14.628283500671387
2013-02-13,14.600459098815918
2013-02-14,14.587331771850586
2013-02-15,14.386306762695312
2013-02-19,14.380990028381348
2013-02-20,14.032711029052734
2013-02-21,13.945486068725586
2013-02-22,14.093988418579102
2013-02-25,13.8435640335083
