,FXE,EWJ,GLD,QQQ,SPY,SHV,GAF,DBA,USO,XBI,ILF,EPP,FEZ
2007-07-24,-3.6604904017937563,-1.439932445329705,-4.991442404738772,-3.399985849091516,-6.012144238311212,-3.0037317057712394,-2.917359038974321,-0.5908350894300332,5.145283769575919,-1.733541089623193,-1.5615290788443321,-1.5121416251387998,-1.1051069538073177
2007-07-25,0.08286840603761304,0.13592145144620266,0.37680463120137386,0.44879602244170674,0.7924165230732771,0.1781343906006873,0.21710692589788008,0.025526512992615432,-0.9119906585232858,0.1483122714780005,0.06520698952182608,0.1559055092312006,0.10565810306013707
2007-07-26,-5.968844796752838,-2.6505242046696753,-8.957242660137913,-6.695413259091008,-11.654883214267576,-5.254125630356466,-5.209163683454481,-0.9468915735412312,13.88124057186146,-3.3589578098040014,-2.6709723051397805,-2.8155341866229717,-2.0217656648285285
2007-07-27,-4.055287162203739,-1.850973833543161,-6.235372108502068,-4.7591376390551545,-8.203874506076195,-3.639146974350228,-3.6171334539542186,-0.6245611070164275,11.314082839759074,-2.435833189454268,-1.8468384454237978,-1.9689347538381696,-1.4050254179321902
2007-07-30,2.4858903527323704,1.2089061430511407,4.017046160295769,3.1916633047404868,5.492705674999109,2.313763818998196,2.3269736729711115,0.38569374875101625,-7.864947275707372,1.5956313030232294,1.1577887099957567,1.2936725966303744,0.9173857033017009
2007-07-31,-2.422784599093296,-1.1631250497469736,-3.861094860335303,-3.0351641978800834,-5.281216784429634,-2.2275397736373552,-2.24254228576537,-0.3917539974133535,6.479635375601214,-1.4671997735633298,-1.1114212113349218,-1.2452463342003823,-0.8878540159806027
2007-08-01,-0.02610297789787333,0.20223832663990823,0.5422951835266014,0.7888965003619162,1.252507419683732,0.23116811889641414,0.29742169574075594,-0.019533914956178695,-4.045312971996757,0.3766105332818205,0.07912174816380509,0.23446113975844277,0.14531262688057206
2007-08-02,1.3662983171345175,0.6525882350105243,2.1954597851035693,1.7360414141195217,2.9160704699587274,1.2722508564870636,1.2654374330774318,0.19019823229876215,-5.468848366088258,0.9477788702349179,0.6475164157735911,0.694542523130996,0.4885596735991505
2007-08-03,-8.454828397742379,-3.449528182941127,-11.848671499084285,-8.303540297496077,-14.665768280358005,-7.072617411919347,-6.919996352737198,-1.3746631483947909,13.112939418327251,-4.153190282770224,-3.6457368083572,-3.6377051726766734,-2.6475882902736747
2007-08-06,2.006564795352351,1.3424948658871365,4.231633893234412,3.968365107464643,6.6812085352057045,2.297555225289719,2.425689103386379,0.29404442122288804,-12.836563858116795,1.921753502617154,1.083734584820899,1.4685430214872697,1.0077130020990213
2007-08-07,1.4379016760922623,0.740746450138475,2.4772937691555814,2.0609595871648207,3.366898557984451,1.4178580660457252,1.4168324171857363,0.17339825111298418,-8.180008455854065,1.1896575919928272,0.7207419363407743,0.7903734624792667,0.5458763405524685
2007-08-08,4.090295826087449,1.7018237910624765,5.899772653994201,4.2500835191639625,7.176174888835468,3.5183062020493927,3.413800522257828,0.5738038864218956,-12.36894721533041,2.4325753178363927,1.841354529454817,1.7869203312006312,1.2767423110768106
2007-08-09,-5.138730910188394,-2.6545983138684885,-8.662760551796776,-7.105009067126001,-12.4018365283927,-4.920434359166721,-5.0295240221616275,-0.8593992743748552,14.797882103557978,-3.2837254435481023,-2.406938498819657,-2.862892493406634,-2.031578969151547
2007-08-10,1.656440210330595,0.3922012204502189,1.4861780952174515,0.4539733867314736,1.2429474949491195,1.0013539433038987,0.9173948666634961,0.3627043117940859,7.304386382702873,-0.003371529649732974,0.541597283004884,0.394424966825537,0.3371562916046722
2007-08-13,-0.9801331161255479,-0.1907122083281842,-0.8493667446309318,-0.22336715314893643,-0.356226623002285,-0.6042210684321886,-0.4984886068611421,-0.12349298243554602,0.5932324631033672,-0.3066754594660226,-0.370255415124387,-0.17398079990445275,-0.14013048559748287
2007-08-14,-4.364115719708546,-1.9156301004529643,-6.487820957785981,-4.8091710273071255,-8.386490947011888,-3.81458671673169,-3.7751515103493274,-0.6946355495949827,9.677913354691693,-2.4121882100625887,-1.9429009577071699,-2.0329297906023878,-1.4623602723896063
2007-08-15,-3.361821844327071,-1.5266278104302742,-5.140763304005947,-3.9056890311406,-6.76418906807505,-3.002326541380837,-2.985369471980781,-0.5263879294186004,8.739743524994413,-1.9720381159480174,-1.5219289315945674,-1.6242122796346232,-1.1616543940160524
2007-08-16,5.140600528742434,1.655906935238273,5.980057099124153,3.327164026441187,6.2624357555780925,3.7580933993749754,3.5413380412048854,0.8945634670796009,2.140763536515446,1.60716561879056,2.0098719518782695,1.7056566035405998,1.2999894003887722
2007-08-17,4.968621993451171,2.26281423788516,7.584800990065413,5.7552416131078585,10.084395167584795,4.42234873923012,4.415452714899977,0.8126231022573313,-10.911685627222864,2.7830994582026527,2.2269818428228487,2.412402145544662,1.7326066560825908
2007-08-20,-0.3114374974708878,-0.10498118085042446,-0.35514671130511477,-0.19223830288240049,-0.43837208077166956,-0.21858596331900537,-0.21729780403771434,-0.07648329455813951,-1.412828850831577,-0.013493511717438317,-0.10755329400416412,-0.11152002722054044,-0.08922267874645678
2007-08-21,0.33871333941520626,0.16704131722326013,0.5542055648792313,0.4445184128186054,0.7617156124645834,0.3184267167428076,0.32065555927423445,0.05175779301069506,-1.1543030926655318,0.2242248192343189,0.1591891055213443,0.1788711054012031,0.12647514228007806
