Date,FXE,EWJ,GLD,QQQ,SPY,SHV,GAF,DBA,USO,XBI,ILF,EPP,FEZ
2007-07-25,-0.007149005689348731,0.0006826886686615019,-0.008448194523662078,0.001419396427917885,0.0020490693002408467,0.00027401548025007827,-0.002365168640065196,0.0038565516384490017,0.041334278201667685,0.015534170261240376,-0.006570687472774672,0.004928505858249332,-0.005134769636110481
2007-07-26,0.0018186512752866868,-0.017735307300162595,-0.018684603460232596,-0.008501954427202474,-0.023678985506670136,0.0005482675356862643,-0.03704252599098201,0.003457515559869506,-0.02123950966528354,-0.008604618074627868,-0.05174359426962338,-0.04949328771917061,-0.032800971476893315
2007-07-27,-0.007260230292625347,-0.009722508958007303,-0.0036557175657478957,-0.020212547045862173,-0.019659755851903937,0.0,-0.016464067241041103,-0.004594213926255031,0.0270366493198142,-0.02063617748134927,-0.0023728313412859636,-0.02681594052016778,-0.013599488838225704
2007-07-30,0.004461065724806312,0.016830324163082944,0.00550363798810749,0.01166918301274844,0.0156430120280322,0.0,0.012515692657614652,-0.00653834688062116,-0.00415659285573422,0.0023632641952013866,0.02673040000309057,0.025322053470020256,0.020767853557184912
2007-07-31,-0.0008011814583988031,-0.004827445761241056,0.0003041549868019189,-0.021009312888378817,-0.01126282813418733,0.00036492491096007384,-0.0165327514623399,0.014711537226052673,0.01791302224864122,-0.01159126091775653,-0.005419921813760276,-0.006667279802996973,-0.004273966807465501
2007-08-01,-0.0010155653544519083,-0.00762292459344982,0.0021279736692538798,0.007784332255910131,0.004872091231580056,0.00034810146388841723,-0.01272586573248835,-0.011446056630346146,-0.01315565477230174,-0.0067579510090861605,-0.008849622805288004,-0.013835334622627538,0.005494390815514505
2007-08-02,0.0024869478686264657,-0.004888371406096992,-0.0006067179636309872,0.00918570565564103,0.007990128799679752,0.00036675041367550953,0.018459577412403005,0.009262821759512097,-0.0010387389255062107,0.027616028441590945,0.012688111233285726,0.00687579648441794,0.003756906758630052
2007-08-03,0.006348721429260129,-0.014034972672540946,0.01214149429607514,-0.019031696753301186,-0.025744890297890732,0.00027480753820463555,-0.023906230926513672,-0.004588865979126111,-0.021837125122531442,-0.006621200382304515,-0.04607879700555473,-0.03221355483280852,-0.013610197410516167
2007-08-06,-0.0002176687675000677,0.014946348364089701,-0.002549194663611143,0.011598447802172895,0.016759107969373632,-9.18603898076853e-05,0.005762775785447705,0.0023050103732464855,-0.03968812753849893,0.022544912798078576,0.013037553625387943,0.020670028757390657,0.014315270140422998
2007-08-07,-0.0024660138674713616,-0.0021035016572080734,-0.0006012220106896837,0.007087899394407016,0.010669488740323363,9.186882891398795e-05,0.016232650504768964,0.006132610428602359,0.0029520266634666115,0.025114884621066036,0.013924909262460705,0.001047588860687343,0.01003248352545194
