,FXE,EWJ,GLD,QQQ,SPY,SHV,GAF,DBA,USO,XBI,ILF,EPP,FEZ
2007-07-24,-922.4435812520265,-362.8629762230857,-1257.8434859941706,-856.796433971062,-1515.0603480544253,-756.9403898543524,-735.1744778215289,-148.89044253636837,1296.6115099331314,-436.8523545850447,-393.5053278687717,-381.05968953497757,-278.48695235944405
2007-07-25,20.882838321478488,34.25220576444307,94.95476706274621,113.0965976553101,199.68896381446584,44.8898664313732,54.71094532626578,6.432681274139089,-229.821645947868,37.37469241245613,16.43216135950017,39.288188326262556,26.62584197115454
2007-07-26,-1504.1488887817152,-667.9320995767582,-2257.225150354754,-1687.2441412909338,-2937.0305699954292,-1324.0396588498295,-1312.709248230529,-238.61667653239027,3498.072624109088,-846.4573680706084,-673.0850208952247,-709.5146150289888,-509.48494753678915
2007-07-27,-1021.9323648753423,-466.44540605287654,-1571.313771342521,-1199.302685041899,-2067.376375531201,-917.0650375362574,-911.5176303964631,-157.38939896813974,2851.1488756192866,-613.8299637424756,-465.40328824679705,-496.17155796721875,-354.0664053189119
2007-07-30,626.4443688885573,304.6443480488875,1012.2956323945339,804.2991527946027,1384.1618300997754,583.0684823875455,586.39736558872,97.1948246852561,-1981.9667134782578,402.09908836185383,291.7627549189307,326.00549435085435,231.1811972320286
2007-07-31,-610.5417189715106,-293.1075125362373,-972.9959048044964,-764.861377865781,-1330.8666296762676,-561.3400229566136,-565.1206560128732,-98.72200734816508,1632.868114651506,-369.7343429379591,-280.07814525640026,-313.8020762184963,-223.73921202711188
2007-08-01,-6.577950430264079,50.96405831325688,136.65838624870355,198.80191809120288,315.63186976030045,58.25436596189636,74.9502673266705,-4.922546568957031,-1019.4188689431827,94.90585438701876,19.93868053727888,59.08420721912758,36.618781973904156
2007-08-02,344.3071759178984,164.45223522265212,553.2558658460995,437.48243635811946,734.8497584295993,320.60721583474003,318.8902331355128,47.92995453928806,-1378.149788254241,238.8402752991993,163.17413677494494,175.02471582901097,123.11703774698591
2007-08-03,-2130.6167562310793,-869.281102101164,-2985.8652177692397,-2092.4921549690116,-3695.7736066502175,-1782.2995878036754,-1743.8390808897739,-346.4151133954873,3304.460733418467,-1046.6039512580965,-918.7256757060144,-916.7017035145217,-667.192249148966
2007-08-06,505.6543284287925,338.3087062035584,1066.371741095072,1000.02800708109,1683.6645508718375,578.9839167730091,611.2736540533675,74.09919414816778,-3234.814092245432,484.2818826595228,273.10111537486654,370.072841414792,253.94367652895335
