Date,FXE,EWJ,GLD,QQQ,SPY,SHV,GAF,DBA,USO,XBI,ILF,EPP,FEZ
2007-07-24,131.2459716796875,47.484745025634766,67.47000122070312,43.70760726928711,114.9024658203125,98.61966705322266,67.6500015258789,24.438859939575195,441.2799987792969,16.381973266601562,31.52166175842285,29.43973731994629,38.269779205322266
2007-07-25,130.3076934814453,47.51716232299805,66.9000015258789,43.76964569091797,115.13790893554688,98.64669036865234,67.48999786376953,24.533109664916992,459.5199890136719,16.63645362854004,31.314542770385742,29.58483123779297,38.073272705078125
2007-07-26,130.544677734375,46.67443084716797,65.6500015258789,43.397518157958984,112.41156005859375,98.70077514648438,64.98999786376953,24.61793327331543,449.760009765625,16.493303298950195,29.694215774536133,28.120580673217773,36.824432373046875
2007-07-27,129.59689331054688,46.220638275146484,65.41000366210938,42.52034378051758,110.20157623291016,98.70077514648438,63.91999816894531,24.504833221435547,461.9200134277344,16.152944564819336,29.623756408691406,27.366500854492188,36.323638916015625
2007-07-30,130.17503356933594,46.9985466003418,65.7699966430664,43.01652145385742,111.92546081542969,98.70077514648438,64.72000122070312,24.34461212158203,460.0,16.191118240356445,30.415611267089844,28.059476852416992,37.0780029296875
2007-07-31,130.07073974609375,46.771663665771484,65.79000091552734,42.11277389526367,110.66486358642578,98.7367935180664,63.650001525878906,24.7027587890625,468.239990234375,16.003442764282227,30.250761032104492,27.87239646911621,36.919532775878906
2007-08-01,129.9386444091797,46.41512680053711,65.93000030517578,42.44059371948242,111.20403289794922,98.77116394042969,62.84000015258789,24.42000961303711,462.0799865722656,15.895292282104492,29.98305320739746,27.486772537231445,37.12238311767578
2007-08-02,130.2617950439453,46.188232421875,65.88999938964844,42.830440521240234,112.09256744384766,98.80738830566406,64.0,24.646207809448242,461.6000061035156,16.334257125854492,30.363481521606445,27.675765991210938,37.26184844970703
2007-08-03,131.0887908935547,45.539981842041016,66.69000244140625,42.01530456542969,109.20675659179688,98.83454132080078,62.470001220703125,24.533109664916992,451.5199890136719,16.226104736328125,28.96436882019043,26.784231185913086,36.75470733642578
2007-08-06,131.0602569580078,46.220638275146484,66.5199966430664,42.50261688232422,111.0369644165039,98.8254623413086,62.83000183105469,24.589658737182617,433.6000061035156,16.591920852661133,29.34199333190918,27.337862014770508,37.280860900878906
2007-08-07,130.737060546875,46.1234130859375,66.4800033569336,42.803871154785156,112.22167205810547,98.83454132080078,63.84989929199219,24.74045753479004,434.8800048828125,17.008625030517578,29.750577926635742,27.366500854492188,37.65488052368164
2007-08-08,131.2503662109375,46.51236343383789,66.7699966430664,43.27345657348633,113.78617095947266,98.85261535644531,65.29000091552734,24.994932174682617,434.1600036621094,17.406246185302734,30.574825286865234,28.141572952270508,38.047916412353516
2007-08-09,130.13818359375,45.76686477661133,65.45999908447266,42.272239685058594,110.41426086425781,98.91593170166016,62.75,24.787582397460938,430.239990234375,17.263105392456055,29.292675018310547,27.16031265258789,36.963897705078125
2007-08-10,130.27130126953125,45.11861038208008,66.56999969482422,41.891265869140625,109.8978271484375,98.93401336669922,62.08000183105469,24.86298370361328,429.1199951171875,16.805042266845703,28.710756301879883,26.898773193359375,36.55186080932617
2007-08-13,129.51089477539062,45.18342971801758,66.26000213623047,42.17477798461914,110.29269409179688,98.95207977294922,62.9900016784668,24.910106658935547,430.79998779296875,16.795499801635742,28.65862464904785,27.166044235229492,36.40605163574219
2007-08-14,128.80751037597656,45.05378341674805,66.29000091552734,41.45710754394531,108.60676574707031,99.00638580322266,61.939998626708984,24.844133377075195,433.8399963378906,16.795499801635742,27.573707580566406,26.402423858642578,35.87355422973633
2007-08-15,127.98054504394531,44.30828857421875,66.12999725341797,40.66856002807617,107.1106948852539,99.10588073730469,60.0,24.62735939025879,441.0400085449219,16.747787475585938,26.205595016479492,25.235973358154297,35.03044509887695
2007-08-16,127.68582916259766,44.40552520751953,64.68000030517578,40.26982498168945,107.91570281982422,99.20542907714844,58.95000076293945,24.127838134765625,428.6400146484375,16.795499801635742,25.51801300048828,24.550617218017578,35.08749008178711
2007-08-17,128.42724609375,44.08140182495117,65.01000213623047,41.03181457519531,109.8978271484375,99.24158477783203,59.790000915527344,24.297487258911133,432.239990234375,17.034069061279297,26.68604850769043,25.342880249023438,35.917938232421875
2007-08-20,128.41778564453125,43.59520721435547,65.12000274658203,41.22673034667969,109.84465026855469,99.36822509765625,59.72999954223633,24.410585403442383,428.32000732421875,17.174034118652344,26.88330078125,25.96332550048828,35.65169143676758
2007-08-21,128.2466583251953,44.14622497558594,65.06999969482422,41.6609001159668,110.06489562988281,99.41349029541016,59.56999969482422,24.561384201049805,419.44000244140625,17.279010772705078,26.855131149291992,25.827781677246094,35.56293487548828
2007-08-22,128.9690399169922,44.72966766357422,65.4000015258789,42.22795486450195,111.37112426757812,99.42255401611328,61.099998474121094,25.155155181884766,418.79998779296875,17.26946258544922,28.186607360839844,26.73650360107422,36.37434005737305
2007-08-23,129.1497039794922,45.05378341674805,65.30999755859375,42.11277389526367,111.27242279052734,99.41349029541016,61.56999969482422,25.070329666137695,421.20001220703125,17.253557205200195,28.461366653442383,27.299673080444336,36.279258728027344
2007-08-24,130.2142791748047,45.280670166015625,66.11000061035156,42.706390380859375,112.64697265625,99.27774047851562,61.84000015258789,25.192855834960938,429.1199951171875,17.390344619750977,29.29829978942871,27.845670700073242,37.103355407714844
