,Mkt-RF,SMB,HML,RF
1928-02-11,0.0036,-0.0052,-0.0074,0.0008199999999999999
1928-02-18,-0.030899999999999997,-0.018799999999999997,-0.0075,0.0008199999999999999
1928-02-25,0.015700000000000002,0.0009,0.0159,0.0008199999999999999
1928-03-03,0.0125,0.003,-0.0158,0.00073
1928-03-10,0.02,-0.0064,-0.0006,0.00073
1928-03-17,0.0209,-0.0118,0.0148,0.00073
1928-03-24,0.0187,0.0045000000000000005,-0.0152,0.00073
1928-03-31,0.0174,0.01,0.0064,0.00073
1928-04-05,0.0077,0.0108,0.0066,0.00056
1928-04-14,0.0174,0.021099999999999997,-0.0016,0.00056
1928-04-20,-0.0091,0.0042,0.0066,0.00056
1928-04-28,0.0255,-0.0042,0.030600000000000002,0.00056
1928-05-04,0.0196,0.0034999999999999996,-0.015,0.0008100000000000001
1928-05-11,0.0076,0.0074,-0.0108,0.0008100000000000001
1928-05-18,-0.0134,0.011699999999999999,-0.0029,0.0008100000000000001
1928-05-25,-0.0017000000000000001,0.0077,-0.0059,0.0008100000000000001
1928-06-02,0.0128,-0.0001,-0.0051,0.00078
1928-06-09,-0.0557,-0.003,-0.0197,0.00078
1928-06-16,-0.019299999999999998,-0.034300000000000004,0.0187,0.00078
1928-06-23,-0.0181,-0.0040999999999999995,0.0070999999999999995,0.00078
1928-06-30,0.035699999999999996,-0.0019,0.0017000000000000001,0.00078
1928-07-07,0.0126,-0.0011,0.0054,0.0008100000000000001
1928-07-14,-0.025699999999999997,-0.0012,-0.005,0.0008100000000000001
1928-07-21,-0.0019,-0.0012,0.0,0.0008100000000000001
1928-07-28,0.023700000000000002,-0.0085,-0.0054,0.0008100000000000001
1928-08-04,-0.0001,0.0003,0.0039000000000000003,0.0008
1928-08-11,-0.0073,0.0015,-0.0026,0.0008
1928-08-18,0.0203,-0.006,0.0024,0.0008
1928-08-25,0.030299999999999997,-0.008199999999999999,-0.0144,0.0008
1928-09-01,0.0223,-0.0072,-0.0084,0.00067
1928-09-08,0.0076,0.0070999999999999995,0.0017000000000000001,0.00067
1928-09-15,0.012199999999999999,-0.0011,0.0125,0.00067
1928-09-22,0.0037,0.0177,0.0066,0.00067
1928-09-29,0.0022,-0.0025,-0.0116,0.00067
1928-10-06,-0.0092,0.0215,0.0025,0.0010199999999999999
1928-10-13,0.015600000000000001,0.0089,-0.0275,0.0010199999999999999
1928-10-20,0.0128,-0.0006,0.0005,0.0010199999999999999
1928-10-27,0.002,0.0001,0.005,0.0010199999999999999
1928-11-03,0.0034999999999999996,-0.0118,-0.004699999999999999,0.00096
1928-11-10,0.036000000000000004,-0.0066,0.019299999999999998,0.00096
1928-11-17,0.027999999999999997,-0.0077,-0.0098,0.00096
1928-11-23,0.0138,-0.0072,0.0216,0.00096
1928-12-01,0.0169,0.0095,0.0045000000000000005,0.00015
1928-12-08,-0.0867,0.005699999999999999,-0.0159,0.00015
1928-12-15,0.0265,0.004,0.0146,0.00015
1928-12-22,0.035,-0.0085,-0.0109,0.00015
1928-12-29,0.0278,-0.0083,-0.003,0.00015
1929-01-05,0.02,0.002,0.0045000000000000005,0.00086
1929-01-12,-0.004,0.0046,0.0052,0.00086
1929-01-19,0.011000000000000001,-0.0059,0.0092,0.00086
1929-01-26,0.019799999999999998,-0.0226,-0.0287,0.00086
1929-02-02,0.0174,-0.0177,0.0181,0.0008900000000000001
1929-02-08,-0.049,0.0004,0.0023,0.0008900000000000001
1929-02-16,-0.013999999999999999,-0.0076,0.0007000000000000001,0.0008900000000000001
1929-02-21,0.0291,0.0045000000000000005,-0.0005,0.0008900000000000001
1929-03-02,0.0351,-0.0036,0.0091,0.00086
1929-03-09,-0.0183,-0.011899999999999999,0.0076,0.00086
1929-03-16,0.0281,-0.0084,-0.0037,0.00086
1929-03-23,-0.029300000000000003,-0.0054,-0.004699999999999999,0.00086
1929-03-28,0.0046,-0.0207,0.0067,0.00086
1929-04-06,-0.0163,0.0013,0.0040999999999999995,0.0008900000000000001
1929-04-13,0.0027,-0.0034000000000000002,-0.0077,0.0008900000000000001
1929-04-20,0.0102,0.0036,-0.0139,0.0008900000000000001
1929-04-27,0.0089,-0.0004,0.0060999999999999995,0.0008900000000000001
1929-05-04,0.0242,-0.013600000000000001,0.0102,0.0011
1929-05-11,-0.0084,-0.0009,-0.0007000000000000001,0.0011
1929-05-18,-0.011899999999999999,-0.011399999999999999,-0.0138,0.0011
1929-05-25,-0.043899999999999995,-0.0105,-0.0049,0.0011
1929-06-01,-0.0091,-0.028999999999999998,0.0154,0.0013
1929-06-08,0.0182,0.0012,0.002,0.0013
1929-06-15,0.0173,-0.0015,0.0058,0.0013
1929-06-22,0.0215,-0.0084,-0.0032,0.0013
1929-06-29,0.029900000000000003,-0.0148,-0.0313,0.0013
1929-07-06,0.024399999999999998,-0.0091,-0.0034000000000000002,0.00084
1929-07-13,0.014199999999999999,-0.0051,0.0184,0.00084
1929-07-20,0.0064,-0.013300000000000001,0.0177,0.00084
1929-07-27,-0.0092,-0.0098,-0.0104,0.00084
1929-08-03,0.030699999999999998,-0.0239,-0.0045000000000000005,0.0010099999999999998
1929-08-10,-0.032799999999999996,-0.0125,0.019799999999999998,0.0010099999999999998
1929-08-17,0.0472,-0.016399999999999998,0.0055000000000000005,0.0010099999999999998
1929-08-24,0.0246,-0.0316,-0.0148,0.0010099999999999998
1929-08-30,0.0176,-0.0092,-0.002,0.0010099999999999998
1929-09-07,0.0024,-0.0086,-0.0105,0.0008800000000000001
1929-09-14,-0.0166,0.0154,-0.001,0.0008800000000000001
1929-09-21,-0.0011,0.0022,-0.0038,0.0008800000000000001
1929-09-28,-0.0315,-0.0014000000000000002,0.0072,0.0008800000000000001
1929-10-05,-0.018799999999999997,-0.0083,-0.0009,0.00114
1929-10-11,0.0277,0.0016,0.0066,0.00114
1929-10-19,-0.08130000000000001,0.015300000000000001,0.0264,0.00114
1929-10-26,-0.077,-0.030699999999999998,0.027000000000000003,0.00114
1929-10-31,-0.0716,-0.0191,0.027200000000000002,0.00114
1929-11-08,-0.1174,0.0168,0.036699999999999997,0.00094
1929-11-15,-0.039900000000000005,-0.0252,-0.0008,0.00094
1929-11-22,0.056299999999999996,-0.0019,0.005,0.00094
1929-11-27,-0.0245,0.0026,0.013999999999999999,0.00094
1929-12-07,0.0751,-0.013600000000000001,-0.0207,0.00091
1929-12-14,-0.0302,-0.0009,0.0161,0.00091
1929-12-21,-0.0632,-0.013000000000000001,0.0181,0.00091
1929-12-28,0.0014000000000000002,-0.0148,-0.0037,0.00091
1930-01-04,0.0385,0.012,-0.0183,0.00035000000000000005
1930-01-11,-0.0027,0.0202,0.0089,0.00035000000000000005
1930-01-18,-0.0048,-0.014199999999999999,0.011200000000000002,0.00035000000000000005
1930-01-25,0.0335,0.009899999999999999,-0.0046,0.00035000000000000005
1930-02-01,0.0322,-0.0016,-0.0315,0.0007400000000000001
1930-02-08,0.009399999999999999,-0.0033,0.0118,0.0007400000000000001
1930-02-15,-0.001,0.0102,0.0105,0.0007400000000000001
1930-02-21,-0.0072,-0.0021,-0.0006,0.0007400000000000001
1930-03-01,0.021400000000000002,0.0039000000000000003,-0.0166,0.0008699999999999999
1930-03-08,0.0069,0.0128,-0.0066,0.0008699999999999999
1930-03-15,-0.0095,0.013600000000000001,0.015,0.0008699999999999999
1930-03-22,0.0279,-0.0003,0.0049,0.0008699999999999999
1930-03-29,0.0354,-0.0016,-0.0062,0.0008699999999999999
1930-04-05,0.0191,-0.001,-0.0195,0.00053
1930-04-12,0.003,0.0014000000000000002,-0.0086,0.00053
1930-04-17,-0.0051,0.0083,-0.0095,0.00053
1930-04-26,-0.0168,-0.0062,0.024900000000000002,0.00053
1930-05-03,-0.0909,-0.0067,0.024700000000000003,0.00064
1930-05-10,0.04650000000000001,-0.011899999999999999,-0.029300000000000003,0.00064
1930-05-17,0.0086,0.0053,0.0148,0.00064
1930-05-24,-0.0034999999999999996,-0.0085,-0.005699999999999999,0.00064
1930-05-29,0.0101,-0.0018,-0.0104,0.00064
1930-06-07,-0.0529,-0.0018,0.0202,0.00067
1930-06-14,-0.0555,-0.013000000000000001,0.0034999999999999996,0.00067
1930-06-21,-0.09,-0.0277,0.024300000000000002,0.00067
1930-06-28,0.0040999999999999995,0.0034999999999999996,-0.0199,0.00067
1930-07-03,0.0169,0.0053,0.0175,0.0005
1930-07-12,0.0276,-0.022099999999999998,-0.0051,0.0005
1930-07-19,0.035699999999999996,0.020099999999999996,0.0085,0.0005
1930-07-26,0.0064,-0.0143,-0.0174,0.0005
1930-08-02,-0.022099999999999998,0.0053,-0.0072,0.00022000000000000003
1930-08-09,-0.0482,0.0018,-0.009899999999999999,0.00022000000000000003
1930-08-16,0.0197,-0.0165,0.0102,0.00022000000000000003
1930-08-23,0.0096,-0.0007000000000000001,-0.0151,0.00022000000000000003
1930-08-29,0.022000000000000002,-0.0102,0.0042,0.00022000000000000003
1930-09-06,0.01,-0.0003,0.006500000000000001,0.00055
1930-09-13,-0.0060999999999999995,0.013999999999999999,-0.005600000000000001,0.00055
1930-09-20,-0.0323,-0.0013,-0.0123,0.00055
1930-09-27,-0.0706,-0.0173,-0.027000000000000003,0.00055
1930-10-04,-0.0048,-0.0005,-0.016200000000000003,0.00022000000000000003
1930-10-11,-0.08,-0.011200000000000002,0.0087,0.00022000000000000003
1930-10-18,-0.0354,-0.0097,-0.018000000000000002,0.00022000000000000003
1930-10-25,0.031400000000000004,-0.0040999999999999995,-0.0036,0.00022000000000000003
1930-11-01,-0.030699999999999998,-0.0027,-0.0058,0.00033
1930-11-08,-0.0669,0.0168,-0.0204,0.00033
1930-11-15,0.0659,0.0032,-0.0241,0.00033
1930-11-22,-0.0009,0.0053,0.0316,0.00033
1930-11-29,-0.025699999999999997,0.0085,-0.0127,0.00033
1930-12-06,-0.019,-0.0013,-0.0217,0.00035000000000000005
1930-12-13,-0.0762,-0.013500000000000002,-0.0301,0.00035000000000000005
1930-12-20,0.026099999999999998,-0.0271,0.0009,0.00035000000000000005
1930-12-27,-0.041100000000000005,0.0067,-0.0407,0.00035000000000000005
1931-01-03,0.08960000000000001,-0.020099999999999996,0.0647,0.00036
1931-01-10,0.0129,0.0219,0.0658,0.00036
1931-01-17,-0.0339,0.0129,-0.0138,0.00036
1931-01-24,0.0412,-0.0102,0.002,0.00036
1931-01-31,-0.009899999999999999,0.0087,-0.006500000000000001,0.00036
1931-02-07,0.022099999999999998,0.0038,-0.0064,0.0001
1931-02-14,0.040999999999999995,0.006,0.0011,0.0001
1931-02-21,0.0438,0.019299999999999998,0.0025,0.0001
1931-02-28,-0.0012,-0.0009,0.0177,0.0001
1931-03-07,-0.0175,0.0018,-0.0138,0.00032
1931-03-14,-0.006,0.006500000000000001,-0.0091,0.00032
1931-03-21,0.018500000000000003,0.016200000000000003,0.0034999999999999996,0.00032
1931-03-28,-0.0499,0.0069,-0.0062,0.00032
1931-04-04,-0.0116,-0.0013,-0.008,0.00018999999999999998
1931-04-11,-0.0109,0.0027,-0.005699999999999999,0.00018999999999999998
1931-04-18,-0.0354,-0.0092,-0.0108,0.00018999999999999998
1931-04-25,-0.0579,0.005699999999999999,-0.0379,0.00018999999999999998
1931-05-02,-0.011000000000000001,-0.028300000000000002,0.0015,0.00022000000000000003
